barcode,total_quantity
5712854177474,10
5707167944011,848
5707167231326,64
5707167231456,75
5707167231494,67
5707167231661,11
5707167231609,85
5707167231630,87
5707167231975,97
5712854149303,28
5712854149815,5
5200384515939,49
5707167697689,12
5707167697726,53
5712854226721,534
5712854226783,31
5712854315371,129
5712854315432,96
5712854315418,66
5712854315395,246
5710409103428,16
5707167200162,208
5060272131302,20
5710409102414,62
5707167200018,49
5707167557273,24
5707167200070,54
5710409102582,39
5707167200100,65
5060272132309,23
5710409102599,1
5060272132248,35
5710409103022,159
5710409103039,2
5710409103053,128
5060272132125,44
8412906201368,2
5710409103077,152
5707167005057,79
5710409103084,151
5707167005095,83
5710409103091,1
5710409103343,112
8412906201337,1
5060272131487,33
5710409103374,134
5060272131364,14
5710409103541,381
5060272131661,25
5710409102421,169
5060272130947,41
5710409102445,231
5710409102438,184
5710409102452,94
5710409102469,24
5060272131333,26
5060272130169,6
5060272131272,17
5710409103121,8
5710409103138,5
5710409100465,52
5710409101639,9
5710409101967,317
5710409102001,35
5710409100038,30
5710409100045,30
5710409100052,11
5710409102698,14
5710409102704,11
5710409100069,4
5710409200011,5
5710409100441,6
5710409200202,9
5710409100618,6
5710409200165,1
5710409200172,1
8412906998039,29
8412906998053,19
8412906990026,6
8412906990019,10
8412906960180,50
8412906960074,67
8412906960210,44
8412906960081,20
8412906960203,17
8412906960104,19
8412906231495,6
8412906996752,19
8412906996745,60
8412906996707,25
8412906996738,41
8412906996721,19
5200384517278,3
5200384516066,1
5200384510200,52
4041077000780,79
4041077000803,2
4041077000827,163
4041077001930,55
4041077002487,1
4041077008274,19
4041077006331,104
4041077006348,42
4041077006355,71
4041077002708,41
4041077006812,59
4041077004450,11
2780015670426,155
2780015670013,10
2780015670174,56
2780015670136,131
2780015670051,88
2780015670211,118
2780015671201,81
2780015670259,49
5060639145317,445
4260350561200,2
5060639142484,149
5060639145355,394
4260350560517,45
5060639143214,334
4260350560531,34
4260350560654,22
4260350560975,31
4260350560982,35
4260350561095,21
4260350560180,2
4260350560210,28
8719831530786,29
278001580023,11
5060639145867,3
5060639145843,13
5060639145836,37
4260243451465,546
4260243451441,299
4260243451458,203
4011768706123,31
4011768706130,5
4019359821477,23
4011768724387,2
4260243451533,6
3760039940001,63
3760039940759,89
3760039940735,30
3760039940889,10
3760039940742,273
3760039940490,41
3760039940032,3
3760039941015,73
3760039941022,110
5710409103695,16
5710409103718,5
5710409200776,75
5710409200790,58
5710409200783,11
4019359828056,5
9786099526522,58
4019359842045,150
4019359835290,90
4019359834125,40
4019359840751,1
4019359816701,22
4019359890442,6
4019359841680,68
4019359865518,3
4019359880733,3
4019359841635,15
4019359841604,87
4019359841543,33
4019359840683,36
4019359132054,27
4019359841741,8
